category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
地理,栃木県の県境で最も長いのは群馬県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と群馬県の境界は約150キロメートルです,100キロメートル,150キロメートル,200キロメートル,250キロメートル,2
歴史,栃木県の「下野国」の成立年は？,栃木県の歴史について,2,25,下野国は7世紀後半に成立しました,5世紀,7世紀後半,9世紀,11世紀,2
観光,日光の「中禅寺湖」の周囲は約何キロメートル？,栃木県の観光について,2,20,中禅寺湖の周囲は約25キロメートルです,15キロメートル,25キロメートル,35キロメートル,45キロメートル,2
産業,栃木県の工業で最も多い企業の設立年は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い設立年は昭和40年代です,大正時代,昭和30年代,昭和40年代,平成時代,3
特産品,栃木県の「那須高原のワイン」の生産量は約何リットル？,栃木県の特産品について,2,25,那須高原のワインの生産量は約10万リットルです,5万リットル,10万リットル,20万リットル,30万リットル,2
文化,栃木県の伝統工芸「益子焼」の窯の燃料は？,栃木県の伝統工芸について,2,25,益子焼の窯の燃料は薪です,ガス,薪,電気,重油,2
地理,栃木県の河川で最も流量が多いのは？,栃木県の地理について,2,20,栃木県の河川で最も流量が多いのは鬼怒川です,那珂川,鬼怒川,思川,巴波川,2
歴史,栃木県の「足利学校」の創設者の没年は？,栃木県の歴史について,2,25,足利尊氏の没年は1358年です,1330年,1358年,1380年,1400年,2
観光,那須高原の年間降雪量は約何センチメートル？,栃木県の観光について,2,20,那須高原の年間降雪量は約200センチメートルです,100センチメートル,200センチメートル,300センチメートル,400センチメートル,2
産業,栃木県の農業で最も多い農家の経営年数は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営年数は30年以上です,10年未満,20-29年,30年以上,50年以上,3
特産品,栃木県の「佐野ラーメン」のスープの温度は約何度？,栃木県の食文化について,2,20,佐野ラーメンのスープの温度は約80度です,60度,80度,100度,120度,2
文化,栃木県の祭り「鹿沼今宮神社祭」の屋台の高さは約何メートル？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の屋台の高さは約4メートルです,2メートル,4メートル,6メートル,8メートル,2
地理,栃木県の湖沼で最も標高が高いのは？,栃木県の地理について,2,20,栃木県の湖沼で最も標高が高いのは中禅寺湖（1,269m）です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「宇都宮城」の築城者の出身は？,栃木県の歴史について,2,25,宇都宮城の築城者宇都宮氏は下野国の豪族です,足利氏,宇都宮氏,小山氏,佐野氏,2
観光,日光の「華厳の滝」の観光客の平均滞在時間は約何分？,栃木県の観光について,2,20,華厳の滝の観光客の平均滞在時間は約30分です,15分,30分,45分,60分,2
産業,栃木県の工業で最も多い企業の従業者数は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い従業者数は10-49人です,1-9人,10-49人,100-299人,1,000人以上,2
特産品,栃木県の「那須和牛」の飼育密度は1ヘクタールあたり約何頭？,栃木県の畜産について,2,25,那須和牛の飼育密度は1ヘクタールあたり約2頭です,1頭,2頭,5頭,10頭,2
文化,栃木県の伝統工芸「結城紬」の織り手の最年長は約何歳？,栃木県の伝統工芸について,2,25,結城紬の織り手の最年長は約90歳です,70歳,80歳,90歳,100歳,3
地理,栃木県の県境で最も短いのは埼玉県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と埼玉県の境界は約10キロメートルです,5キロメートル,10キロメートル,15キロメートル,20キロメートル,2
歴史,栃木県の「小山城」の築城者の出身は？,栃木県の歴史について,2,25,小山城の築城者小山氏は下野国の豪族です,足利氏,小山氏,佐野氏,壬生氏,2
観光,鬼怒川温泉の源泉の湧出量は約何リットル/分？,栃木県の温泉について,2,20,鬼怒川温泉の源泉の湧出量は約100リットル/分です,50リットル/分,100リットル/分,200リットル/分,300リットル/分,2
産業,栃木県の農業で最も多い農家の後継者数は？,栃木県の農業について,2,25,栃木県の農家で最も多い後継者数は1人です,0人,1人,2人,3人以上,2
特産品,栃木県の「宇都宮餃子」の1店舗あたりの平均従業者数は約何人？,栃木県の食文化について,2,25,宇都宮餃子店の平均従業者数は約5人です,3人,5人,8人,10人,2
文化,栃木県の祭り「足利まつり」の屋台の重量は約何トン？,栃木県の伝統文化について,2,25,足利まつりの屋台の重量は約3トンです,1トン,3トン,5トン,7トン,2
地理,栃木県の山で最も古いのは男体山で約何年前に形成された？,栃木県の地理について,2,25,男体山は約10万年前に形成されました,5万年前,10万年前,20万年前,50万年前,2
歴史,栃木県の「壬生城」の築城者の出身は？,栃木県の歴史について,2,25,壬生城の築城者壬生氏は下野国の豪族です,足利氏,壬生氏,佐野氏,小山氏,2
観光,那須温泉の源泉の湧出量は約何リットル/分？,栃木県の温泉について,2,20,那須温泉の源泉の湧出量は約50リットル/分です,20リットル/分,50リットル/分,100リットル/分,200リットル/分,2
産業,栃木県の工業で最も多い企業の売上高は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い売上高は1億円未満です,1,000万円未満,1億円未満,10億円未満,100億円以上,2
特産品,栃木県の「那須高原のりんご」の1個あたりの平均重量は約何グラム？,栃木県の農業について,2,20,那須高原のりんごの1個あたりの平均重量は約300グラムです,200グラム,300グラム,400グラム,500グラム,2
文化,栃木県の伝統工芸「益子焼」の窯元の平均設立年は？,栃木県の伝統工芸について,2,25,益子焼窯元の平均設立年は昭和30年代です,大正時代,昭和20年代,昭和30年代,昭和50年代,3
地理,栃木県の県境の総延長は約何キロメートル？,栃木県の地理について,2,25,栃木県の県境の総延長は約400キロメートルです,300キロメートル,400キロメートル,500キロメートル,600キロメートル,2
歴史,栃木県の「佐野城」の築城者の出身は？,栃木県の歴史について,2,25,佐野城の築城者佐野氏は下野国の豪族です,足利氏,佐野氏,小山氏,壬生氏,2
観光,日光の「輪王寺」の建立者の出身は？,栃木県の寺院について,2,25,輪王寺の建立者は勝道上人です,空海,勝道上人,最澄,法然,2
産業,栃木県の農業で最も多い農家の経営面積は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営面積は1-2ヘクタールです,1ヘクタール未満,1-2ヘクタール,3-5ヘクタール,10ヘクタール以上,2
特産品,栃木県の「佐野うどん」の麺の長さは約何センチメートル？,栃木県の食文化について,2,20,佐野うどんの麺の長さは約30センチメートルです,20センチメートル,30センチメートル,40センチメートル,50センチメートル,2
文化,栃木県の祭り「栃木まつり」の屋台の重量は約何トン？,栃木県の伝統文化について,2,25,栃木まつりの屋台の重量は約2トンです,1トン,2トン,3トン,4トン,2
地理,栃木県の河川で最も流域面積が大きいのは鬼怒川で約何平方キロメートル？,栃木県の地理について,2,25,鬼怒川の流域面積は約1,760平方キロメートルです,1,000平方キロメートル,1,760平方キロメートル,2,500平方キロメートル,3,000平方キロメートル,2
歴史,栃木県の「足利学校」の創設者の出身は？,栃木県の歴史について,2,25,足利学校の創設者足利尊氏は足利氏の出身です,宇都宮氏,足利氏,小山氏,佐野氏,2
観光,那須高原の年間平均気温は約何度？,栃木県の観光について,2,20,那須高原の年間平均気温は約10度です,5度,10度,15度,20度,2
産業,栃木県の工業で最も多い企業の従業者の平均年齢は？,栃木県の産業について,2,25,栃木県の工業従業者の平均年齢は約45歳です,35歳,45歳,55歳,65歳,2
特産品,栃木県の「那須和牛」の1キログラムあたりの平均価格は約何円？,栃木県の畜産について,2,25,那須和牛の1キログラムあたりの平均価格は約3,000円です,2,000円,3,000円,4,000円,5,000円,2
文化,栃木県の伝統工芸「結城紬」の織り手の平均経験年数は約何年？,栃木県の伝統工芸について,2,25,結城紬の織り手の平均経験年数は約30年です,10年,20年,30年,40年,3
地理,栃木県の県境で最も長いのは群馬県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と群馬県の境界は約150キロメートルです,100キロメートル,150キロメートル,200キロメートル,250キロメートル,2
歴史,栃木県の「宇都宮城」の築城者の出身は？,栃木県の歴史について,2,25,宇都宮城の築城者宇都宮氏は下野国の豪族です,足利氏,宇都宮氏,小山氏,佐野氏,2
観光,日光の「中禅寺湖」の最大水深は約何メートル？,栃木県の観光について,2,20,中禅寺湖の最大水深は約163メートルです,100メートル,163メートル,200メートル,250メートル,2
産業,栃木県の農業で最も多い農家の年齢層は？,栃木県の農業について,2,25,栃木県の農家で最も多い年齢層は65歳以上です,35-44歳,45-54歳,55-64歳,65歳以上,4
特産品,栃木県の「宇都宮餃子」の1店舗あたりの平均売上は約何万円？,栃木県の食文化について,2,25,宇都宮餃子店の平均売上は約500万円です,300万円,500万円,800万円,1,000万円,2
文化,栃木県の祭り「栃木まつり」の参加者数は約何人？,栃木県の伝統文化について,2,25,栃木まつりの参加者数は約5万人です,2万人,5万人,8万人,10万人,2
地理,栃木県の河川で最も流域面積が大きいのは鬼怒川で約何平方キロメートル？,栃木県の地理について,2,25,鬼怒川の流域面積は約1,760平方キロメートルです,1,000平方キロメートル,1,760平方キロメートル,2,500平方キロメートル,3,000平方キロメートル,2
歴史,栃木県の「足利学校」の創設者の生年は？,栃木県の歴史について,2,25,足利尊氏の生年は1305年です,1280年,1305年,1330年,1350年,2
観光,那須高原の年間平均気温は約何度？,栃木県の観光について,2,20,那須高原の年間平均気温は約10度です,5度,10度,15度,20度,2
産業,栃木県の工業で最も多い従業者の勤続年数は？,栃木県の産業について,2,25,栃木県の工業従業者で最も多い勤続年数は10-19年です,1-9年,10-19年,20-29年,30年以上,2
特産品,栃木県の「那須和牛」の1頭あたりの平均価格は約何万円？,栃木県の畜産について,2,25,那須和牛の1頭あたりの平均価格は約100万円です,50万円,100万円,150万円,200万円,2
文化,栃木県の伝統工芸「益子焼」の窯元の平均従業者数は約何人？,栃木県の伝統工芸について,2,25,益子焼窯元の平均従業者数は約5人です,3人,5人,8人,10人,2
地理,栃木県の県境の総延長は約何キロメートル？,栃木県の地理について,2,25,栃木県の県境の総延長は約400キロメートルです,300キロメートル,400キロメートル,500キロメートル,600キロメートル,2
歴史,栃木県の「小山城」の築城者の出身は？,栃木県の歴史について,2,25,小山城の築城者小山氏は下野国の豪族です,足利氏,小山氏,佐野氏,壬生氏,2
観光,日光の「華厳の滝」の観光客数は年間約何人？,栃木県の観光について,2,25,華厳の滝の年間観光客数は約100万人です,50万人,100万人,150万人,200万人,2
産業,栃木県の農業で最も多い農家の経営形態は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営形態は家族経営です,法人経営,家族経営,共同経営,委託経営,2
特産品,栃木県の「佐野うどん」の1店舗あたりの平均売上は約何万円？,栃木県の食文化について,2,25,佐野うどん店の平均売上は約300万円です,200万円,300万円,500万円,800万円,2
文化,栃木県の祭り「鹿沼今宮神社祭」の参加者数は約何人？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の参加者数は約20万人です,10万人,20万人,30万人,40万人,2
地理,栃木県の湖沼で最も古いのは？,栃木県の地理について,2,20,栃木県の湖沼で最も古いのは中禅寺湖です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「佐野城」の築城者の出身は？,栃木県の歴史について,2,25,佐野城の築城者佐野氏は下野国の豪族です,足利氏,佐野氏,小山氏,壬生氏,2
観光,鬼怒川温泉の年間観光客数は約何人？,栃木県の観光について,2,25,鬼怒川温泉の年間観光客数は約200万人です,100万人,200万人,300万人,400万人,2
産業,栃木県の工業で最も多い企業の資本金は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い資本金は1,000万円未満です,100万円未満,1,000万円未満,1億円未満,10億円以上,2
特産品,栃木県の「那須高原のチーズ」の1キログラムあたりの平均価格は約何円？,栃木県の特産品について,2,25,那須高原のチーズの1キログラムあたりの平均価格は約2,000円です,1,000円,2,000円,3,000円,4,000円,2
文化,栃木県の伝統工芸「結城紬」の織り手の最年少は約何歳？,栃木県の伝統工芸について,2,25,結城紬の織り手の最年少は約30歳です,20歳,30歳,40歳,50歳,2
地理,栃木県の県境で最も長いのは群馬県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と群馬県の境界は約150キロメートルです,100キロメートル,150キロメートル,200キロメートル,250キロメートル,2
歴史,栃木県の「宇都宮城」の築城者の出身は？,栃木県の歴史について,2,25,宇都宮城の築城者宇都宮氏は下野国の豪族です,足利氏,宇都宮氏,小山氏,佐野氏,2
観光,日光の「中禅寺湖」の最大水深は約何メートル？,栃木県の観光について,2,20,中禅寺湖の最大水深は約163メートルです,100メートル,163メートル,200メートル,250メートル,2
産業,栃木県の農業で最も多い農家の年齢層は？,栃木県の農業について,2,25,栃木県の農家で最も多い年齢層は65歳以上です,35-44歳,45-54歳,55-64歳,65歳以上,4
特産品,栃木県の「宇都宮餃子」の1店舗あたりの平均売上は約何万円？,栃木県の食文化について,2,25,宇都宮餃子店の平均売上は約500万円です,300万円,500万円,800万円,1,000万円,2
文化,栃木県の祭り「栃木まつり」の参加者数は約何人？,栃木県の伝統文化について,2,25,栃木まつりの参加者数は約5万人です,2万人,5万人,8万人,10万人,2
地理,栃木県の河川で最も流域面積が大きいのは鬼怒川で約何平方キロメートル？,栃木県の地理について,2,25,鬼怒川の流域面積は約1,760平方キロメートルです,1,000平方キロメートル,1,760平方キロメートル,2,500平方キロメートル,3,000平方キロメートル,2
歴史,栃木県の「足利学校」の創設者の生年は？,栃木県の歴史について,2,25,足利尊氏の生年は1305年です,1280年,1305年,1330年,1350年,2
観光,那須高原の年間平均気温は約何度？,栃木県の観光について,2,20,那須高原の年間平均気温は約10度です,5度,10度,15度,20度,2
産業,栃木県の工業で最も多い従業者の勤続年数は？,栃木県の産業について,2,25,栃木県の工業従業者で最も多い勤続年数は10-19年です,1-9年,10-19年,20-29年,30年以上,2
特産品,栃木県の「那須和牛」の1頭あたりの平均価格は約何万円？,栃木県の畜産について,2,25,那須和牛の1頭あたりの平均価格は約100万円です,50万円,100万円,150万円,200万円,2
文化,栃木県の伝統工芸「益子焼」の窯元の平均従業者数は約何人？,栃木県の伝統工芸について,2,25,益子焼窯元の平均従業者数は約5人です,3人,5人,8人,10人,2
地理,栃木県の県境の総延長は約何キロメートル？,栃木県の地理について,2,25,栃木県の県境の総延長は約400キロメートルです,300キロメートル,400キロメートル,500キロメートル,600キロメートル,2
歴史,栃木県の「小山城」の築城者の出身は？,栃木県の歴史について,2,25,小山城の築城者小山氏は下野国の豪族です,足利氏,小山氏,佐野氏,壬生氏,2
観光,日光の「華厳の滝」の観光客数は年間約何人？,栃木県の観光について,2,25,華厳の滝の年間観光客数は約100万人です,50万人,100万人,150万人,200万人,2
産業,栃木県の農業で最も多い農家の経営形態は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営形態は家族経営です,法人経営,家族経営,共同経営,委託経営,2
特産品,栃木県の「佐野うどん」の1店舗あたりの平均売上は約何万円？,栃木県の食文化について,2,25,佐野うどん店の平均売上は約300万円です,200万円,300万円,500万円,800万円,2
文化,栃木県の祭り「鹿沼今宮神社祭」の参加者数は約何人？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の参加者数は約20万人です,10万人,20万人,30万人,40万人,2
地理,栃木県の湖沼で最も古いのは？,栃木県の地理について,2,20,栃木県の湖沼で最も古いのは中禅寺湖です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「佐野城」の築城者の出身は？,栃木県の歴史について,2,25,佐野城の築城者佐野氏は下野国の豪族です,足利氏,佐野氏,小山氏,壬生氏,2
観光,鬼怒川温泉の年間観光客数は約何人？,栃木県の観光について,2,25,鬼怒川温泉の年間観光客数は約200万人です,100万人,200万人,300万人,400万人,2
産業,栃木県の工業で最も多い企業の資本金は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い資本金は1,000万円未満です,100万円未満,1,000万円未満,1億円未満,10億円以上,2
特産品,栃木県の「那須高原のチーズ」の1キログラムあたりの平均価格は約何円？,栃木県の特産品について,2,25,那須高原のチーズの1キログラムあたりの平均価格は約2,000円です,1,000円,2,000円,3,000円,4,000円,2
文化,栃木県の伝統工芸「結城紬」の織り手の最年少は約何歳？,栃木県の伝統工芸について,2,25,結城紬の織り手の最年少は約30歳です,20歳,30歳,40歳,50歳,2 